,"ФИО","Внесено","Подписано","Процент подписанных","Общее время принятия","Среднее время принятия",Примечания,Служебное,Misc
1,Слуцкий Леонид Эдуардович,1,1,"100,00%",17,17,,,
2,Саралиев Шамсаил Юнусович,2,2,"100,00%",157,"78,5",,,
3,Панков Николай Васильевич,1,1,"100,00%",112,112,,,
4,Антошкин Николай Тимофеевич,1,1,"100,00%",113,113,аномалия,,
5,Жарков Антон Викторович,1,1,"100,00%",113,113,,,
6,Ресин Владимир Иосифович,1,1,"100,00%",113,113,,,
7,Аршба Отари Ионович,2,2,"100,00%",308,154,аномалия,,
8,Быков Олег Петрович,2,2,"100,00%",308,154,аномалия явная,,
9,Черняева Нина Алексеевна,1,1,"100,00%",166,166,,,
10,Старшинов Михаил Евгеньевич,1,1,"100,00%",186,186,,,
11,Богуславский Ирек Борисович,2,2,"100,00%",398,199,,,
12,Иванов Валерий Викторович,2,2,"100,00%",398,199,,,
13,Кудрявцев Максим Георгиевич,2,2,"100,00%",436,218,,,
14,Станкевич Игорь Валентинович,1,1,"100,00%",223,223,,,
15,Шишкоедов Василий Михайлович,1,1,"100,00%",223,223,,,
16,Минкин Иршат Султанович,3,3,"100,00%",749,"249,6666667",,,
17,Петров Юрий Александрович,2,2,"100,00%",516,258,,,
18,Макаров Андрей Михайлович,15,13,"86,67%",1430,110,,,
19,Володин Вячеслав Викторович,13,11,"84,62%",1072,"97,45454545",,,
20,Симановский Леонид Яковлевич,6,5,"83,33%",631,"126,2",,,
21,Касаева Татьяна Викторовна,5,4,"80,00%",706,"176,5",аномалия,,
22,Олейников Юрий Павлович,5,4,"80,00%",924,231,,,
23,Пятикоп Александр Иванович,9,7,"77,78%",343,49,аномалия,,
24,Белых Ирина Викторовна,8,6,"75,00%",748,"124,6666667",тоже надо включить,,
25,Бариев Марат Мансурович,4,3,"75,00%",505,"168,3333333",аномалия,,
26,Байгускаров Зариф Закирович,4,3,"75,00%",563,"187,6666667",аномалия ?,,
27,Хайров Ринат Шамильевич,4,3,"75,00%",749,"249,6666667",,,
28,Пинский Виктор Витальевич,19,14,"73,68%",1262,"90,14285714",,,
29,Москвичев Евгений Сергеевич,7,5,"71,43%",939,"187,8",,,
